,Date,Close.Last,Volume,Open,High,Low
2338,12/18/2013,11.8833,15020440,12.0593,12.4429,11.8833
2337,12/19/2013,12.2543,1605369,11.8833,12.2543,11.8267
2336,12/20/2013,12.3737,737077,12.3549,12.4303,12.1977
2335,12/23/2013,12.4114,698142,12.4429,12.5686,12.2605
2334,12/24/2013,12.2794,213659,12.4114,12.4617,12.2605
2333,12/26/2013,12.4366,416470,12.292,12.512,12.1662
2332,12/27/2013,12.6629,758233,12.5309,12.9459,12.2794
2331,12/30/2013,12.5623,246833,12.6378,12.6629,12.462
2330,12/31/2013,12.9207,313909,12.5498,13.0276,12.5498
2329,1/2/2014,12.6881,425814,12.9647,13.1659,12.5498
2328,1/3/2014,12.5875,298712,12.6378,12.751,12.4366
2327,1/6/2014,12.5812,509721,12.6064,12.6378,12.4555
2326,1/7/2014,12.6064,856772,12.6001,12.6818,12.5309
2325,1/8/2014,12.5498,497878,12.6378,12.6378,12.5058
2324,1/9/2014,12.5938,290220,12.5498,12.6064,12.4555
2323,1/10/2014,12.6001,660075,12.6064,12.6692,12.5687
2322,1/13/2014,12.5623,392556,12.512,12.5812,12.4177
2321,1/14/2014,12.6504,215815,12.4869,12.7887,12.4177
2320,1/15/2014,12.5686,311799,12.6881,12.7661,12.4555
2319,1/16/2014,12.7635,279340,12.5246,12.883,12.512
2318,1/17/2014,12.7258,131424,12.6881,12.883,12.6001
2317,1/21/2014,13.1093,620251,12.8264,13.2037,12.7777
2316,1/22/2014,13.3671,326833,13.1659,13.5117,13.1534
2315,1/23/2014,13.3734,154254,13.3734,13.3734,12.8893
2314,1/24/2014,13.4363,408969,13.3734,13.5872,13.0779
2313,1/27/2014,13.4237,497249,13.3671,13.4992,13.2162
2312,1/28/2014,13.7758,332623,13.8135,13.8135,13.2665
2311,1/29/2014,13.6061,77177,13.7821,13.7821,13.4237
2310,1/30/2014,13.5369,122693,13.757,13.8324,13.474
2309,1/31/2014,13.4363,230790,13.3608,13.7192,13.3043
2308,2/3/2014,13.2351,232206,13.518,13.518,13.2099
2307,2/4/2014,13.2162,311482,13.2351,13.3083,12.9648
2306,2/5/2014,13.2288,362040,13.1031,13.2854,12.7635
2305,2/6/2014,13.3043,211648,13.1974,13.3043,13.0213
2304,2/7/2014,13.4049,129926,13.3357,13.4111,13.1496
2303,2/10/2014,13.4363,118292,13.3608,13.4363,13.2452
2302,2/11/2014,13.6878,156211,13.4929,13.6941,13.3923
2301,2/12/2014,13.8576,147941,13.6501,13.889,13.4929
2300,2/13/2014,13.8953,183370,13.6689,14.1153,13.6564
2299,2/14/2014,13.8324,172632,13.9456,13.9456,13.4049
2298,2/18/2014,13.8261,183778,13.8953,13.8953,13.7067
2297,2/19/2014,13.7884,210859,13.7821,13.9896,13.6815
2296,2/20/2014,13.801,179773,13.7067,13.8701,13.601
2295,2/21/2014,14.0273,303760,13.8324,14.2348,13.7004
2294,2/24/2014,14.0776,245386,14.0839,14.1468,13.7696
2293,2/25/2014,14.1279,252834,14.1342,14.4171,14.0273
2292,2/26/2014,14.1594,567500,14.304,14.3855,13.6249
2291,2/27/2014,14.2977,374295,14.1594,14.4234,13.9204
2290,2/28/2014,14.392,306190,14.2977,14.4234,14.0525
2289,3/3/2014,14.4297,432922,14.4423,14.8384,14.3165
2288,3/4/2014,15.0773,1157187,14.5115,15.3791,14.5115
2287,3/5/2014,15.5049,355371,15.115,15.5929,15.115
2286,3/6/2014,15.857,351261,15.5803,15.8997,15.4609
2285,3/7/2014,16.0142,487710,15.989,16.2279,15.5679
2284,3/10/2014,15.5992,398494,15.9073,16.5989,15.5552
2283,3/11/2014,15.0773,1226716,15.6809,16.7749,15.0773
2282,3/12/2014,14.6435,508144,15.0836,15.4543,14.4706
2281,3/13/2014,15.0082,827604,14.6749,15.442,14.6749
2280,3/14/2014,15.1591,567047,14.9956,15.5929,14.9201
2279,3/17/2014,15.7564,868007,15.1968,15.989,15.1968
2278,3/18/2014,15.3414,547499,15.8255,15.8758,15.3037
2277,3/19/2014,14.8258,569230,15.027,15.027,14.5806
2276,3/20/2014,14.7818,429168,14.7567,14.8698,14.4486
2275,3/21/2014,14.4989,1645872,14.6372,14.895,14.348
2274,3/24/2014,14.5743,385525,14.4612,14.6058,14.021
2273,3/25/2014,15.0962,398432,14.6561,15.2219,14.6473
2272,3/26/2014,15.0019,238240,15.1339,15.1339,14.9013
2271,3/27/2014,14.7252,284290,14.9453,15.1339,14.6246
